Activity Type, User ID, RM ID, User OS, User OS Share, Viewing App, Viewing App Version, User Groups,Shared Date, Shared Time, Title of Content, Share Channel, Viewed, Time Spent in Seconds, Last Activity Date, Last Activity Time,,
VIEW,5655305,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Doherty, Conan 5.04KW Preliminary Estimate.pdf",,1,180,21-Aug-2017,21:33:08,,
VIEW,5927942,,iOS9_IPAD,iOS9_IPAD,MOBILE_SAFARI,,,,,"Suhre, David 4.48KW Preliminary Estimate.pdf",,1,85,21-Aug-2017,2:16:47,,"Suhre, David 4.48KW Preliminary Estimate.pdf"
VIEW,5927942,,iOS9_IPAD,iOS9_IPAD,MOBILE_SAFARI,,,,,"Suhre, David 4.48KW Preliminary Estimate.pdf",,1,5,20-Aug-2017,21:26:00,,Read what our customers have to say
VIEW,5927942,,iOS9_IPAD,iOS9_IPAD,MOBILE_SAFARI,,,,,Read what our customers have to say,,1,545,20-Aug-2017,7:05:10,,About E2 Solar
VIEW,5927942,,iOS9_IPAD,iOS9_IPAD,MOBILE_SAFARI,,,,,"Suhre, David 4.48KW Preliminary Estimate.pdf",,1,5,20-Aug-2017,7:04:50,,Upload Electricity Bill
VIEW,5927942,,iOS9_IPAD,iOS9_IPAD,MOBILE_SAFARI,,,,,"Suhre, David 4.48KW Preliminary Estimate.pdf",,1,45,20-Aug-2017,6:51:56,,Request your site assessment
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Read what our customers have to say,,1,185,19-Aug-2017,11:18:43,,Estimate the benefits of solar
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,About E2 Solar,,1,115,19-Aug-2017,11:16:30,,Your Solar Interest - form
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Upload Electricity Bill,,1,35,19-Aug-2017,11:15:08,,Solar Cost Terminology
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Request your site assessment,,1,5,19-Aug-2017,11:01:34,,Update on expiration of Oregon Residential energy tax credit
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Estimate the benefits of solar,,1,255,19-Aug-2017,11:01:17,,
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,"Suhre, David 4.48KW Preliminary Estimate.pdf",,1,375,19-Aug-2017,11:01:08,,
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,"Suhre, David 4.48KW Preliminary Estimate.pdf",,1,45,19-Aug-2017,10:46:28,,Read what our customers have to say
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Update on expiration of Oregon Residential energy tax credit,,1,85,19-Aug-2017,10:42:29,,About E2 Solar
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Solar Cost Terminology,,1,765,19-Aug-2017,10:27:04,,Request your site assessment
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Read what our customers have to say,,1,110,19-Aug-2017,6:44:19,,Estimate the benefits of solar
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Request your site assessment,,1,25,19-Aug-2017,6:43:31,,"Martin, Ruth 4.64KW Preliminary Estimate without Oregon State Tax Credit.pdf"
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Upload Electricity Bill,,1,20,19-Aug-2017,6:40:50,,
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Your Solar Interest - form,,1,80,19-Aug-2017,6:39:19,,
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Estimate the benefits of solar,,1,100,19-Aug-2017,6:38:53,,
VIEW,5927942,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,"Suhre, David 4.48KW Preliminary Estimate.pdf",,1,180,19-Aug-2017,6:26:50,,
VIEW,5824573,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Solar Cost Terminology,,1,30,19-Aug-2017,4:28:04,,
SHARE,5636419,2622013,,WEB,,,,19-Aug-2017,0:24:16,E2 Solar contracts for by Jeffrey Remer,WEB,0,0,19-Aug-2017,0:24:16,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,19-Aug-2017,,E2 Solar Contracts for Jeffrey Remer,,1,40,19-Aug-2017,0:23:40,,
VIEW,5933590,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,19-Aug-2017,,Estimate the benefits of solar,,1,5,18-Aug-2017,5:55:05,,
VIEW,5933590,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,19-Aug-2017,,"Sultzer, Eric 5.22KW Preliminary Estimate.pdf",,1,5,18-Aug-2017,5:54:51,,
SHARE,5933734,2834196,,WEB,,,,18-Aug-2017,5:32:52,Get the Power Rohr Hilloah,WEB,0,0,18-Aug-2017,5:32:52,,
SHARE,5933590,2834196,,WEB,,,,18-Aug-2017,5:12:42,Get the Power Eric Sultzer,WEB,1,10,18-Aug-2017,5:12:42,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Sultzer, Eric 5.22KW Preliminary Estimate.pdf",,1,5,18-Aug-2017,5:12:22,,
VIEW,5752421,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Request your site assessment,,1,120,17-Aug-2017,19:42:57,,
SHARE,5773156,2622013,,WEB,,,,9-Aug-2017,23:42:22,E2 Solar contracts for Frank Mungeam,WEB,1,825,17-Aug-2017,8:13:00,,
VIEW,5773156,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Net Metering Agreement (Sample Only),,1,65,17-Aug-2017,8:11:36,,
VIEW,5773156,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Pacific Power Schedule 135 for Frank Mungeam,,1,120,17-Aug-2017,8:07:58,,
VIEW,5773156,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Energy Trust Incentive Application - Mungeam,,1,20,17-Aug-2017,8:07:16,,
SHARE,5927942,2834196,,WEB,,,,17-Aug-2017,7:37:47,Get the Power David Suhre,WEB,1,2215,17-Aug-2017,7:37:47,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Suhre, David 4.48KW Preliminary Estimate.pdf",,1,20,17-Aug-2017,7:37:10,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Request your site assessment,,1,10,17-Aug-2017,3:47:45,,
SHARE,5713756,2834196,,WEB,,,,22-Jul-2017,3:30:52,Solar Blueprint Donn Curry,WEB,1,80,17-Aug-2017,3:42:00,,
VIEW,5713756,,MAC_OS_X,MAC_OS_X,CHROME,,,,,"Curry, Donn 6.38KW Bid Proposal.pdf",,1,25,17-Aug-2017,3:41:35,,
VIEW,5713756,,MAC_OS_X,MAC_OS_X,CHROME,,,,,"Curry, Donn 5.8KW Bid Proposal.pdf",,1,20,17-Aug-2017,3:41:09,,
VIEW,5713756,,MAC_OS_X,MAC_OS_X,CHROME,,,,,"Curry, Donn 4.64KW Bid Proposal.pdf",,1,35,17-Aug-2017,3:40:30,,
SHARE,5636419,2834196,,WEB,,,,28-Jun-2017,1:57:05,Solar Blueprint Jeff Remer,WEB,1,175,16-Aug-2017,22:21:00,,
VIEW,5636419,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Remer, Jeff 5.8KW with 240 Voit outlet Bid Proposal.pdf",,1,50,16-Aug-2017,22:11:27,,
VIEW,5919547,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Request your site assessment,,1,120,16-Aug-2017,22:07:09,,
SHARE,3195226,2834196,,WEB,,,,16-Aug-2017,9:17:06,Solar Blueprint Nancy Isbell,WEB,0,0,16-Aug-2017,9:17:06,,
SHARE,5636419,2834196,,WEB,,,,16-Aug-2017,8:29:41,Solar Blueprint Jeff Remer,WEB,1,175,16-Aug-2017,8:29:41,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Remer, Jeff 5.8KW with 240 Voit outlet Bid Proposal.pdf",,1,20,16-Aug-2017,8:29:13,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Remer, Jeff 5.22KW with 240 Voit outlet Bid Proposal.pdf",,1,15,16-Aug-2017,8:28:50,,
VIEW,5919547,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Upload Electricity Bill,,1,5,16-Aug-2017,7:13:43,,
VIEW,5919547,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,"Orman, Rob 10.44KW Preliminary Estimate.pdf",,1,25,16-Aug-2017,7:13:09,,
SHARE,5919547,2834196,,WEB,,,,16-Aug-2017,7:02:18,Get the Power Rob Orman,WEB,1,150,16-Aug-2017,7:02:18,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Orman, Rob 10.44KW Preliminary Estimate.pdf",,1,15,16-Aug-2017,7:01:43,,
VIEW,5858299,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Request your site assessment,,1,55,16-Aug-2017,3:45:37,,
SHARE,5524578,2622013,,WEB,,,,15-Aug-2017,23:52:45,E2 Solar contracts for Charles Gradek,WEB,1,855,16-Aug-2017,1:59:00,,
VIEW,5524578,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Net Metering Agreement (Sample Only),,1,220,16-Aug-2017,1:54:27,,
VIEW,5524578,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Pacific Power - Schedule 135 Gradek,,1,205,16-Aug-2017,1:50:51,,
VIEW,5524578,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Energy Trust Incentive Application - Gradek,,1,65,16-Aug-2017,1:49:31,,
VIEW,5524578,,WINDOWS_10,WINDOWS_10,CHROME,,,,,E2 Solar Contracts for Charles & Sarah Gradek,,1,365,16-Aug-2017,1:42:30,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Solar Cost Terminology,,1,5,16-Aug-2017,0:51:17,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,E2 Solar Contracts for Charles & Sarah Gradek,,1,45,15-Aug-2017,23:51:27,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Energy Trust Incentive Application - Mungeam,,1,10,15-Aug-2017,22:16:53,,
SHARE,5812998,2834196,,WEB,,,,12-Aug-2017,5:11:04,Solar Blueprint Brian Carroll,WEB,1,470,15-Aug-2017,11:04:00,,
VIEW,5812998,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Carroll, Brian 4.48KW Bid Proposal.pdf",,1,55,15-Aug-2017,11:02:15,,
