Activity Type, User ID, RM ID, User OS, Viewing App, User Groups,Shared Date, Shared Time, Title of Content, Share Channel, Viewed, Time Spent in Seconds, Last Activity Date, Last Activity Time,,
VIEW,1051909,,MAC_OS_X_IPHONE,APPLE_WEB_KIT,,,,Mutual Fund Online - I,,1,5,25-Aug-2017,19:29:04,,
VIEW,1052025,,MAC_OS_X_IPHONE,APPLE_WEB_KIT,,,,SWIFT CODES JPY,,1,120,25-Aug-2017,9:53:39,,SWIFT CODES JPY
VIEW,1052025,,MAC_OS_X_IPHONE,APPLE_WEB_KIT,,,,Q1FY17 Press Release_Final,,1,120,25-Aug-2017,9:41:15,,Q1FY17 Press Release_Final
SHARE,1057837,1051973,,,"All Users ,FA - NCR 2 ",23-Aug-2017,20:40:49,ICICI Pru Balanced,ANDROID,0,0,23-Aug-2017,20:40:49,,GIB Knowledge Series
SHARE,1057837,1051973,,,"All Users ,FA - NCR 2 ",23-Aug-2017,20:40:49,ICICI Pru Balanced,ANDROID,0,0,23-Aug-2017,20:40:49,,
SHARE,1057837,1051973,,,"All Users ,FA - NCR 2 ",23-Aug-2017,20:40:49,ICICI Pru Balanced,ANDROID,0,0,23-Aug-2017,20:40:49,,
VIEW,1051973,,ANDROID4,CHROME_MOBILE,,,,ICICI Pru Balanced,,1,120,23-Aug-2017,20:39:43,,
VIEW,1052025,,MAC_OS_X_IPHONE,APPLE_WEB_KIT,,,,GIB Knowledge Series,,1,220,17-Aug-2017,20:43:48,,GIB Knowledge Series
VIEW,1051913,,MAC_OS_X_IPHONE,APPLE_WEB_KIT,,,,Mutual Fund Online - I,,1,5,12-Aug-2017,21:22:24,,
VIEW,1051913,,MAC_OS_X_IPHONE,APPLE_WEB_KIT,,,,Reliance Arbitrage Adv,,1,10,12-Aug-2017,21:07:16,,
VIEW,1051905,,MAC_OS_X_IPHONE,APPLE_WEB_KIT,,,,User Manual,,1,35,11-Aug-2017,22:52:17,,
VIEW,1052009,,ANDROID6,CHROME_MOBILE,,,,Verification of KYC documents through Webcam for GIB account opening,,1,10,11-Aug-2017,11:55:42,,
VIEW,1051977,,MAC_OS_X_IPHONE,APPLE_WEB_KIT,,,,SBI Bluechip Reg,,1,15,10-Aug-2017,9:59:15,,
VIEW,1052009,,ANDROID6,CHROME_MOBILE,,,,Q1FY17 Press Release_Final,,1,5,10-Aug-2017,9:58:48,,
VIEW,1052009,,ANDROID6,CHROME_MOBILE,,,,GIB Knowledge Series,,1,5,10-Aug-2017,9:58:26,,
VIEW,1052009,,ANDROID6,CHROME_MOBILE,,,,Did You Know Series,,1,10,10-Aug-2017,9:57:28,,
VIEW,1052009,,ANDROID6,CHROME_MOBILE,,,,YES REMIT_KNOWLEDGE SERIES,,1,45,10-Aug-2017,9:56:36,,
SHARE,1057621,1051897,,,"All Users ,FA - NCR 3 ",9-Aug-2017,10:57:24,SBI Bluechip Reg,ANDROID,1,40,9-Aug-2017,20:37:07,,
