Activity Type, User ID, RM ID, User OS, Viewing App, User Groups,Shared Date, Shared Time, Title of Content, Share Channel, Viewed, Time Spent in Seconds, Last Activity Date, Last Activity Time
SHARE,5931852,197521,,,Client Solutions,18-Aug-2017,0:53:39,English/Writing GameScapes and Games,WEB,1,5505,18-Aug-2017,22:43:00
VIEW,5931852,,WINDOWS_7,CHROME,,,,Introductions and Conclusions: Set the Stage,,1,285,18-Aug-2017,22:37:45
VIEW,5931852,,WINDOWS_7,CHROME,,,,Paragraph Structure: Find the Balance,,1,1635,18-Aug-2017,22:00:03
VIEW,5931852,,WINDOWS_7,CHROME,,,,Paragraph Structure: Find the Balance,,1,3555,18-Aug-2017,21:00:01
VIEW,5931852,,WINDOWS_7,CHROME,,,,Paragraph Structure: Find the Balance,,1,30,18-Aug-2017,20:59:28
SHARE,5864595,197521,,,Client Solutions,10-Aug-2017,3:27:06,English/Writing GameScapes and Games,WEB,1,1240,18-Aug-2017,20:56:00
VIEW,5864595,,WINDOWS_7,IE11,,,,Thesis Statements: What's the Point?,,1,5,18-Aug-2017,20:55:11
SHARE,5926033,197521,,,Client Solutions,17-Aug-2017,21:41:24,Business Foundations,WEB,0,0,17-Aug-2017,21:41:24
SHARE,3837716,197521,,,Client Solutions,17-Aug-2017,21:33:05,Business Foundations,WEB,1,51490,17-Aug-2017,21:33:05
VIEW,197521,,WINDOWS_10,CHROME,,,,DEMO - Planning and Writing,,1,350,17-Aug-2017,3:11:48
VIEW,197521,,WINDOWS_10,CHROME,,,,Topics and Learning Objectives,,1,35,17-Aug-2017,3:08:54
VIEW,197521,,WINDOWS_10,CHROME,,,,Topics and Learning Objectives,,1,25,17-Aug-2017,3:04:10
VIEW,197521,,WINDOWS_10,CHROME,,,,VIDEO - Trailer (3:32),,1,5,17-Aug-2017,3:03:59
VIEW,197521,,WINDOWS_10,CHROME,,,,Topics & Learning Objectives,,1,20,17-Aug-2017,3:03:38
SHARE,3010402,5538419,,,,16-Aug-2017,15:44:41,Mission 14: Spring MVC,WEB,0,0,16-Aug-2017,15:44:41
SHARE,229551,229551,,,"Cengage,Advanced,stage 1,Toolwire Sales",16-Aug-2017,3:19:36,Voorhees College_FacultyResources,WEB,1,8305,16-Aug-2017,3:19:36
SHARE,2266502,229551,,,"Cengage,Advanced,stage 1,Toolwire Sales",27-Apr-2016,3:36:24,Communication,WEB,1,297,15-Aug-2017,23:39:00
VIEW,2266502,,WINDOWS_10,CHROME,,,,VIDEO (3:32),,1,25,15-Aug-2017,23:37:59
SHARE,5735336,5538419,,,,12-Aug-2017,1:20:16,Mission 14: Spring MVC,WEB,0,0,12-Aug-2017,1:20:16
SHARE,2934058,211675,,,,10-Aug-2017,11:29:01,Mission 12: Spring Core,WEB,0,0,10-Aug-2017,11:29:01
SHARE,1657717,197521,,,Client Solutions,10-Aug-2017,4:15:28,English/Writing GameScapes and Games,WEB,0,0,10-Aug-2017,4:15:28
VIEW,5864595,,WINDOWS_7,CHROME,,,,Sentence Structure: Writer‰Ûªs Block II,,1,230,10-Aug-2017,4:00:03
VIEW,5864595,,WINDOWS_7,CHROME,,,,Sentence Structure: Writer‰Ûªs Block II,,1,295,10-Aug-2017,3:55:08
VIEW,5864595,,WINDOWS_7,CHROME,,,,Sentence Types: Writer's Block,,1,190,10-Aug-2017,3:45:55
VIEW,5864595,,WINDOWS_7,CHROME,,,,Writing Basics: Getting Started,,1,520,10-Aug-2017,3:30:01
SHARE,197521,197521,,,Client Solutions,10-Aug-2017,1:16:16,English/Writing GameScapes and Games,WEB,1,185,10-Aug-2017,1:16:16
SHARE,2241865,5538419,,,,9-Aug-2017,0:29:19,Mission 10: FSD_MongoNode,WEB,0,0,9-Aug-2017,0:29:19
SHARE,5831244,205963,,,Toolwire Sales,3-Aug-2017,6:04:40,Pearson Food Safety,WEB,0,0,3-Aug-2017,6:04:40
VIEW,197521,,WINDOWS_10,CHROME,,,,Sentences and Paragraphs: Laying the Bricks,,1,55,2-Aug-2017,22:34:11
VIEW,197521,,WINDOWS_10,CHROME,,,,Sentence Structure: Writer‰Ûªs Block II,,1,90,2-Aug-2017,22:26:42
VIEW,197521,,WINDOWS_10,CHROME,,,,"Grammar: He Said, She Said",,1,15,2-Aug-2017,21:26:10
VIEW,197521,,WINDOWS_10,CHROME,,,,Sentence Types: Writer's Block,,1,10,2-Aug-2017,21:24:04
VIEW,197521,,WINDOWS_10,CHROME,,,,Writing Basics: Getting Started,,1,15,2-Aug-2017,21:21:27
SHARE,3127028,211675,,,,1-Aug-2017,1:04:06,Mission 12: Spring Core,WEB,0,0,1-Aug-2017,1:04:06
